synthetic_id,source_participant_id,synthetic_name,role,buddy_preferences,location,summary,buddy_preference,skills,company,career_stage
V4dJcih25exUrxRzcA39Nc,RV7NKJ,Elena Morales,Management,Prefer someone doing technical leadership for ML product teams so we can trade management and delivery best practices.,"Boston, MA","Lead of engineering and data teams at a clinical AI startup. Background in full-stack engineering and applied econometrics, now focused on delivering ML-driven healthcare software.",My Buddy should be in a similar role as me,"['Technical Leadership', 'Product Delivery', 'ML in Production', 'Team Management', 'Cross-functional Collaboration']",Crescent HealthTech,10+ Years of Experience
9FHXHiPsUNjBZDxCQebbea,j2KzNQ,Liam Carter,Data Engineer,Hopes to be matched with someone more senior — a data architect or lead engineer who can help me find a specialization and career focus.,"Raleigh, NC","Curious generalist with a background in data science and engineering. Enjoys moving data reliably and learning new paradigms, currently exploring where to specialize.",No,"['Kimball Data Modeling', 'ETL/ELT', 'Snowflake-style Warehousing', 'Python for Data Pipelines', 'SQL', 'Data Integration']",Stratus Dataworks,3 - 5 Years of Experience
Fjwph8QsNzajaLdBakFxdh,zvBVb0,Farah Hosseini,ML Engineer,"Looking for a buddy with cloud and DevOps experience, especially in AWS-based CI/CD and production ML deployments.","Tehran, Iran","AI enthusiast focused on NLP and language technologies. Enjoys problem solving, mentoring others, and applying ML to real-world tasks.",No,"['NLP', 'Machine Learning', 'Python', 'TensorFlow', 'Kubernetes', 'Cloud DevOps', 'Automation', 'AI Ethics']",Atlas Research Center,1 - 3 Years of Experience
SrDSfDQDoVwtB2WmSQvGdL,gkZopJ,Diego Alvarez,Student,Would value mentorship from someone with proven industry or startup experience who can guide early-career decisions.,"Ann Arbor, MI","Former IT in military service now finishing a CS degree. Interned across web, DevOps and MLOps roles and aiming to transition into an MLOps role after graduation.",No,"['Kubernetes', 'AWS', 'GCP', 'Terraform', 'CI/CD', 'Python', 'C/C++', 'JavaScript/TypeScript', 'React', 'MLflow']",University Student,Undergrad / New Grad
oWjhsJrHFifNy7xq6jQZCY,v1pRrl,Ava Thompson,Data Scientist,Interested in pairing with MLE or MLOps engineers to learn what skills and practices help models succeed in production.,"San Diego, CA",Data scientist focused on fraud detection and robust model pipelines. Comfortable with monitoring and production tooling to keep models reliable.,No,"['Fraud Detection', 'TensorFlow', 'AWS', 'Docker', 'Model Monitoring', 'Kubeflow Pipelines']",Sentinel Analytics,1 - 3 Years of Experience
DfMwnBGMbZoPYPqb5duN7h,YXj9qB,Marcus Reed,Data Engineer,Would like to connect with folks who have experience serving LLMs at scale and designing low-latency inference systems.,"Austin, TX",Senior data engineering and MLOps lead interested in sharing knowledge and learning from peers about scalable ML infrastructure.,No,"['Python', 'SQL', 'Model Packaging', 'Model Registry', 'Batch & Online Serving', 'API Development', 'Autoscaling', 'Low Latency Inference']",Peregrine Systems,10+ Years of Experience
ZLdCvDaTGxqdpFrxNiNARC,YBxQX5,Thabo Nkosi,ML Engineer,"Interested in founders and builders in the AI agents space to exchange insights on agent design, workflows, and go-to-market strategies.","Cape Town, South Africa",Mechatronics and data science background turned AI consultant. Building agentic AI solutions for clients and personal projects; enjoys outdoor sports and community meetups.,No,"['Data Strategy', 'Data Architecture', 'Generative AI', 'Agentic AI', 'AWS']",Kata Labs,5 - 10 Years of Experience
FvdzfEH3TM8bwtMzV9VzB3,VyRPAl,Sophie Lin,Head of AI,"Looking for conversations with senior infra or engineering leads who have architected production ML systems, preferably in the Bay Area.",San Francisco Bay Area,Long career spanning ML research and engineering at startups and large tech firms. Specialized in NLP and building LLM-powered capabilities for consumer products.,My Buddy should be in a similar role as me,"['NLP', 'Recommendation Systems', 'ML Research', 'Productization of ML']",Novium AI,10+ Years of Experience
M4UYdGE37S2AQHab3oTbr2,6z8kGe,Maya Patel,SE,,"Boston, MA","Research assistant working on computer vision and ML projects, with experience teaching data science topics. Interested in generative models and improving clinical analysis tools.",No,"['Computer Vision', 'ML', 'Generative AI', 'Python', 'Data Science']",Harbor Research Labs,1 - 3 Years of Experience
56ZPi4o7GdgvX6WpcbZNCX,4Y6jBd,Anouk van Dijk,No current role,"Open to connecting broadly, especially with active ML community members who can share learning resources and career guidance.",Netherlands,Career switcher from chemistry to software and AI safety. Learning to code and exploring how to apply technical skills toward more altruistic goals.,No,"['Foundational ML Concepts', 'Neural Networks', 'Transformers', 'Bayesian Models', 'Markov Processes']",Currently Unemployed,5 - 10 Years of Experience
j54yEYrqNtSzzgqCywymdC,O9bQVg,Chinedu Okonkwo,ML Engineer,Would enjoy meeting people who build valuable AI apps and create educational content to help other engineers learn.,Lagos / London,"Tinkerer focused on testing new AI tools, building prototypes, and documenting experiments so others can reproduce and learn.",No,"['Technical Content Creation', 'Developer Experience', 'Python', 'Prompt Engineering', 'JavaScript', 'Computer Vision', 'Agentic AI']",Orbit Labs,5 - 10 Years of Experience
2EKwA36wBUBGqKqQz6tbBV,DMKXpE,Kemi Adebayo,Founder,"Seeking senior engineers with experience in building multimodal AI systems — image-text models, state-space layers, and large pretrained models.","Lagos, Nigeria",Experienced product leader in fintech now building healthtech AI services. Founded and scaled a startup previously; currently looking for partners and talent in Europe.,No,"['Product Management', 'Strategy', 'Fundraising', 'Finance', 'AI Product Development']",Helix Health AI,5 - 10 Years of Experience
ZbgdB3dAwpcdh7MuxpAM8p,j4e9z6,Milan Petrovic,Start up life...,"Curious about prompt engineering, practical automation and simple ways to explain complex topics.","Belgrade, Serbia",Customer experience specialist turned chatbot builder working at a generative AI startup. Loves no-code tooling and rapid iteration.,No,"['Intent-based Chatbots', 'Contact Center AI', 'Conversational Design', 'LLM Summarization', 'Low-code Tools']",DialogueWorks,10+ Years of Experience
WcWMji5jZfWMiwKVDC3BAo,kQdgPM,Wei Zhang,MLOps/AI Consultant,Would prefer to connect with other independent consultants or founders who run small AI practices.,"Shantou, China",Seasoned programmer and MLOps practitioner who runs workshops and occasionally speaks at conferences. Regularly writes about data engineering and ML operations.,No,"['Large Language Models', 'Generative AI', 'LangChain', 'RAG', 'Apache Spark', 'SageMaker', 'Kubernetes']",VectorFlow Consulting,10+ Years of Experience
UmXGHFcxbU3uXB6rGkjZe4,l8Obbp,Lucas Ferreira,ML Engineer,Looking for someone eager to teach and hungry to learn — a supportive technical peer is ideal.,"São Paulo, Brazil","Operating across data science and MLOps, building endpoints and CI/CD for model deployments while transitioning fully into ML engineering.",My Buddy should be in a similar role as me,"['MLOps', 'Model Serving', 'CI/CD', 'Docker', 'Kubernetes', 'Python']",Aperture AI,1 - 3 Years of Experience
hfGFNBUpzStEENv8MjAUjs,OeNbVK,Nadia El-Sayed,Student,"Seeks mentors with strong technical backgrounds in ML, industry deployment experience, and product thinking.","Cairo, Egypt","Product management professional exploring AI productization. Focused on combining design, engineering and data to build user-centric AI features.",No,"['Technical Product Management', 'AI Integration', 'Data Visualization', 'A/B Testing', 'SQL', 'User Research', 'Stakeholder Management']",Remote at an AI company,5 - 10 Years of Experience
i43rkKkgY64JmtMijNVUgV,JbWqJ7,Lukas Müller,ML Engineer,Would like to talk to people with leadership experience or those who have managed engineering teams.,"Basel, Switzerland",Lead MLOps and AI engineer at a technical consultancy. Focused on building scalable ML systems and turning ideas into production products.,No,"['MLOps', 'ML Pipelines', 'Observability', 'Deployment Automation', 'Cloud Infrastructure']",AxiomTech Solutions,5 - 10 Years of Experience
XSKzXAZZGszEoKR82fSFuo,OyRboY,Sana Ahmed,ML Scientist/Researcher,Prefer a buddy with strong AI software development experience and a track record of productionising models.,"Karachi, Pakistan","Researcher focused on LLMs, retrieval-augmented generation and agentic systems, looking to deepen practical ops and deployment skills.",No,"['Large Language Models', 'NLP', 'RAG', 'Agentic AI', 'Model Evaluation']",Nexus Systems,5 - 10 Years of Experience
ckcFvF56EwFXZ3S6nBfqei,pXDzeV,Oliver Grant,Data Engineer,Interested in connecting with LLM serving experts and engineers who build production-ready inference stacks.,"Dublin, Ireland",Data engineer transitioning into LLM-focused infrastructure and real-time model serving. Enjoys architecting reliable data flows.,No,"['Data Pipelines', 'Streaming', 'Model Serving', 'Kubernetes', 'Python', 'Cloud Data Platforms']",Cobalt Data,3 - 5 Years of Experience
Tdnz4kLPdW27PVVSv3nUGJ,kQkMRR,Mira Patel,Student,"Looking for a hands-on peer to explore ideas, build small projects together, and prepare for hackathons. Prefer someone excited about combining web, ML, and hardware.","Bangalore, India",Undergraduate focused on AI and embedded systems. I do freelance web projects and want to bridge hardware with ML — robotics and edge AI excite me. I’ve been learning modern web stacks and experimenting with small language-model integrations and visualization tools. Looking to move into internships or collaborative projects to apply these skills.,No,"['Python', 'TypeScript', 'Next.js', 'Django', 'Docker', 'AWS (basic)', 'Introductory ML frameworks']",Independent Learner,Undergrad / New Grad
oW4MWYtwhu8zWCmySBLwsY,9gQ1lX,Ethan Morales,Student,"Open to pairing with other early-career technologists to exchange knowledge, get feedback on projects, and explore potential areas to specialize in.","Los Angeles, CA, USA","Computer science student aiming to sample many areas of software and ML to find a long-term focus. I enjoy building prototypes and want to learn from practical, production-level work while making connections in industry.",No,"['Python', 'Data analysis', 'Basic software engineering', 'Familiarity with ML workflows']",Graduating CS Student,1 - 3 Years of Experience
CNXoRmQkfN4cPFnAKNi8fA,XkbpxY,Sofia Andersen,ML Engineer,"Happy to chat about practical ML system design, remote sensing workflows, or career transitions between domains.","Park City, UT, USA","Background across finance, media, and agricultural tech. I work on ML systems for environmental data and enjoy outdoor activities and music outside of work.",No,"['Applied machine learning', 'Remote sensing / GIS', 'Data engineering', 'Model evaluation']",Cloudseed Analytics,3 - 5 Years of Experience
TSCUucR8aj3WD8zs7wn7Nf,WBbOjJ,Luca Rossi,Education and Content Development,Interested in conversations with practitioners who use ML in production to better align course content with real-world needs; also open to general discussions about tooling and pedagogy.,"New York City, USA",I design curriculum and learning experiences for data science and ML programs. I combine technical training with research into how people learn computing concepts effectively.,No,"['Instructional design', 'Machine learning fundamentals', 'Curriculum strategy', 'Qualitative research']",Pathway Learning,3 - 5 Years of Experience
FrPUCYDga57mjH4hHY8y5k,kQkMRR,Amelie Dubois,ML Engineer,"Open to mentoring relationships or peer exchanges focused on deployment best practices, monitoring, and reproducible workflows.","Paris, France","Engineer working on deploying ML models to scale. I enjoy bridging research prototypes and robust production pipelines, and I’m curious about observability and model governance.",No,"['Model deployment', 'Docker', 'Kubernetes', 'CI/CD for ML', 'Python']",Aperture Labs,1 - 3 Years of Experience
mjEcPxYpeLjKyx7SPu6yEJ,9gQ1lX,Jonas Schmidt,ML Engineer,"Would like to connect with folks working on geospatial ML, environmental datasets, or those solving similar scaling challenges.","Copenhagen, Denmark","I build ML solutions for agricultural monitoring, often combining satellite imagery and sensor data. I value clean data pipelines and interpretable models.",No,"['Remote sensing', 'Time series analysis', 'Data pipelines', 'Python', 'Model interpretability']",Nordic AgTech,3 - 5 Years of Experience
MoWgPy3EM4PQdUxwJJLHfY,XkbpxY,Isabella Nguyen,Student,"Seeking a buddy to learn about deploying models, cloud tooling, and to collaborate on small portfolio projects together.","Seattle, WA, USA",Undergraduate exploring ML and software engineering. I’ve built web apps and want to get hands-on with ML pipelines and practical tools for model serving.,No,"['JavaScript', 'React', 'Python', 'Basic ML concepts', 'Cloud fundamentals']",City University,Undergrad / New Grad
3JpThik2vbwvV2itE3gh9Q,WBbOjJ,Mateo Garcia,ML Engineer,"Open to conversations about tooling for faster experimentation, reproducibility practices, and community knowledge sharing.","Madrid, Spain",Early-career ML engineer focused on end-to-end model development and experimentation platforms. I like improving iteration speed for data scientists.,No,"['Experiment tracking', 'Feature stores', 'Python', 'Model evaluation', 'MLOps basics']",VectorFlow,1 - 3 Years of Experience
9dLSG3dXAxRMCZgG37hmhw,kQkMRR,Ava Thompson,Education and Content Development,I’d like to interview practitioners to inform course content — especially product teams that integrate ML but don’t build models themselves.,"London, UK",I lead development of technical learning content for data and ML professionals. I synthesize industry trends into practical lessons and care about aligning curricula to employer needs.,No,"['Curriculum development', 'Technical writing', 'Data science fundamentals', 'Educational research']",Cognify Education,3 - 5 Years of Experience
jmBZTpcYiqtorTAhTx9Qui,9gQ1lX,Noah Wilson,ML Engineer,"Happy to exchange tips on monitoring strategies, dataset versioning, and incident response for ML services.","Toronto, Canada","Engineer focused on building resilient ML services. I enjoy system design for inference, monitoring model drift, and improving reliability.",No,"['Production ML', 'Monitoring & observability', 'API design', 'Docker / Kubernetes', 'Python']",Summit AI,3 - 5 Years of Experience
9F5MJZS7mCKSkiwtLPMcJT,XkbpxY,Leila Hassan,Student,"Looking for a friendly, collaborative buddy to learn ML workflows, pair on projects, and prepare for internships.","Cairo, Egypt",Undergrad with an interest in deep learning and societal applications of AI. Working on hobby projects integrating ML with data visualization and civic datasets.,No,"['Python', 'Deep learning fundamentals', 'Data visualization', 'Basic statistics']",Independent Researcher,Undergrad / New Grad
dZC2MK3vhtrbafuypXb2kb,WBbOjJ,Oliver Brown,ML Engineer,Would enjoy peer discussions about lightweight MLOps patterns that fit lean teams and how to introduce best practices gradually.,"Berlin, Germany","I help productionize ML models for product teams, focused on reliable feature pipelines and continuous evaluation. Interested in scaling ML in small-to-medium teams.",No,"['Feature engineering', 'Data pipelines', 'Model validation', 'Python', 'Cloud deployments']",Brightline Systems,1 - 3 Years of Experience
HuyLGsFdqCgzz7mnaXMVr3,kQkMRR,Zara Ivanov,Education and Content Development,Interested in talking to engineers about which tutorial formats and topics actually help them onboard new hires or students.,"Amsterdam, Netherlands",Creating technical guides and interactive labs for newcomers to ML. I focus on practical exercises that teach production-relevant skills.,No,"['Instructional design', 'Hands-on lab creation', 'Python', 'ML fundamentals']",ClearCourse,1 - 3 Years of Experience
YrSY6ewgPWHV9bcha5cmvX,9gQ1lX,Samuel O'Connor,ML Engineer,Open to mentorship-style chats or peer exchanges about measuring ML impact on product metrics and rolling out features safely.,"Dublin, Ireland",Focused on building and scaling ML features within product teams. I like cross-functional collaboration and shipping reliable model-backed features.,No,"['Product-focused ML', 'A/B testing', 'Model deployment', 'Data engineering', 'Python']",Tidewave AI,3 - 5 Years of Experience
AGdCbz6vVqjxkDc8gmfqcj,XkbpxY,Priya Shah,Student,"Would like a supportive buddy to help learn ML tooling, review projects, and prepare for internships or entry-level roles.","Mumbai, India",Early-career learner transitioning from web dev to ML. I enjoy building small experiments and want to grow toward applied ML work in industry.,No,"['JavaScript', 'React', 'Python (beginner ML)', 'Cloud basics', 'Containerization (intro)']",Tech Internship Candidate,1 - 3 Years of Experience
nMypLcshkbnqjq8Zk5AyYc,WBbOjJ,Mateja Kovač,ML Engineer,"Interested in exchanging approaches to reproducibility, experiment workflows, and collaboration between data science and engineering teams.","Ljubljana, Slovenia",Engineer working on scalable data platforms and ML automation. I care about reproducible experiments and shortening time from idea to deployment.,No,"['MLOps automation', 'Experiment tracking', 'Data engineering', 'Python', 'CI/CD']",AstraGrid,3 - 5 Years of Experience
2b3hW2CPUH5rFNXzGUiwwV,kQkMRR,Daniela Souza,Education and Content Development,Looking to speak with hiring managers and engineers to ensure training materials map to real responsibilities and expectations.,"Lisbon, Portugal",I design applied courses and workshops for professionals moving into ML roles. I balance foundational theory with hands-on practice and real-world toolchains.,No,"['Workshop facilitation', 'Curriculum strategy', 'Machine learning basics', 'Technical communication']",UpSkill Labs,3 - 5 Years of Experience
cnMLd2XK7MdPnYn2aZc33A,9gQ1lX,Marcus Lee,ML Engineer,Open to peer learning about practical tooling choices for startups and how to evolve MLOps as teams grow.,"San Francisco, CA, USA",Building data pipelines and assisting with model lifecycle in a fast-moving startup. I’m focused on learning best practices around feature stores and monitoring.,No,"['Data pipelines', 'Feature stores (intro)', 'Model monitoring', 'Python', 'Cloud services']",NovaMetrics,1 - 3 Years of Experience
